Genre,Movie_Count,Average_IMDB_Rating
Action,189,7.948677248677249
Adventure,196,7.95204081632653
Animation,82,7.930487804878048
Biography,109,7.935779816513762
Comedy,233,7.9034334763948495
Crime,209,7.954545454545454
Drama,724,7.959392265193371
Family,56,7.9125000000000005
Fantasy,66,7.931818181818182
Film-Noir,19,7.989473684210527
History,56,7.953571428571428
Horror,32,7.8875
Music,35,7.914285714285715
Musical,17,7.947058823529411
Mystery,99,7.9676767676767675
Romance,125,7.9256
Sci-Fi,67,7.977611940298507
Sport,19,7.9263157894736835
Thriller,137,7.90948905109489
War,51,8.013725490196078
Western,20,8.0
